2025-09-03 23:34:08 | INFO | ingest | Stored 1 event(s) from bridge=macbook-elad
2025-09-04 00:13:56 | INFO | ingest | Stored 3 event(s) from bridge=macbook-elad
2025-09-04 00:14:07 | INFO | ingest | Stored 1 event(s) from bridge=macbook-elad
2025-09-04 00:16:04 | INFO | ingest | Stored 1 event(s) from bridge=macbook-elad
2025-09-04 00:16:33 | WARNING | summary | MAP step failed for chat '972547788696@s.whatsapp.net': OPENAI_API_KEY is not set
2025-09-04 00:16:33 | WARNING | summary | MAP step failed for chat 'Demo': OPENAI_API_KEY is not set
2025-09-04 00:16:33 | WARNING | summary | REDUCE step failed: OPENAI_API_KEY is not set
2025-09-04 00:17:30 | INFO | ingest | Stored 1 event(s) from bridge=macbook-elad
2025-09-04 00:20:52 | INFO | ingest | Stored 1 event(s) from bridge=macbook-elad
2025-09-04 00:21:14 | WARNING | summary | MAP step failed for chat '972547788696@s.whatsapp.net': OPENAI_API_KEY is not set
2025-09-04 00:21:14 | WARNING | summary | MAP step failed for chat 'Demo': OPENAI_API_KEY is not set
2025-09-04 00:21:14 | WARNING | summary | REDUCE step failed: OPENAI_API_KEY is not set
2025-09-04 07:05:35 | INFO | ingest | Stored 3 event(s) from bridge=macbook-elad
